Date,Price,sma,diff,threshold,signal,change,pnl
08/14/2021,47081.50,36541.678,0.29,0.06,1,-0.01521886,-0.01522
08/15/2021,46991.30,36685.933,0.28,0.06,1,-0.001915827,-0.00192
08/16/2021,45996.30,36818.338,0.25,0.06,1,-0.021174132,-0.02117
08/17/2021,44691.60,36967.375,0.21,0.06,1,-0.028365325,-0.02837
08/18/2021,44723.80,37120.882,0.20,0.06,1,0.000720493,0.00072
08/19/2021,46755.90,37306.883,0.25,0.06,1,0.045436658,0.045437
08/20/2021,49324.00,37600.75,0.31,0.06,1,0.054925689,0.054926
08/21/2021,48875.80,37873.74,0.29,0.06,1,-0.009086854,-0.00909
08/22/2021,49254.50,38133.41,0.29,0.06,1,0.007748211,0.007748
08/23/2021,49539.70,38381.308,0.29,0.06,1,0.005790334,0.00579
08/24/2021,47714.70,38649.987,0.23,0.06,1,-0.036839141,-0.03684
08/25/2021,48994.50,38929.172,0.26,0.06,1,0.026821923,0.026822
08/26/2021,46831.60,39131.723,0.20,0.06,1,-0.044145771,-0.04415
08/27/2021,49064.30,39374.863,0.25,0.06,1,0.047675074,0.047675
08/28/2021,48897.10,39592.57,0.24,0.06,1,-0.003407773,-0.00341
08/29/2021,48777.40,39821.745,0.22,0.06,1,-0.002447998,-0.00245
08/30/2021,46992.70,40045.897,0.17,0.06,1,-0.036588666,-0.03659
08/31/2021,47130.40,40267.847,0.17,0.06,1,0.002930242,0.00293
1/9/2021,48819.40,40502.457,0.21,0.06,1,0.035836742,0.035837
2/9/2021,49274.30,40735.392,0.21,0.06,1,0.009318017,0.009318
3/9/2021,49999.00,41007.245,0.22,0.06,1,0.014707464,0.014707
4/9/2021,49918.40,41268.792,0.21,0.06,1,-0.001612032,-0.00161
5/9/2021,51768.60,41567.138,0.25,0.06,1,0.037064489,0.037064
6/9/2021,52672.10,41897.235,0.26,0.06,1,0.017452664,0.017453
7/9/2021,46779.60,42113.605,0.11,0.06,1,-0.11187137,-0.11187
8/9/2021,46061.40,42322.785,0.09,0.06,1,-0.015352846,-0.01535
9/9/2021,46385.60,42525.417,0.09,0.06,1,0.007038431,0.007038
10/9/2021,44842.80,42720.913,0.05,0.06,0,-0.033260322,-0.03326
11/9/2021,45161.90,42928.143,0.05,0.06,0,0.00711597,0
12/9/2021,46062.30,43148.837,0.07,0.06,1,0.019937159,0
